company_name,industry,company_size,annual_revenue,num_employees,lead_source,past_interactions,converted,created_at
"Anderson, Smith and Frank",retail,6976,594321991,7922,email,2,1,2024-12-02 06:51:53.199731
Abbott Ltd,retail,5187,337067606,4411,referral,4,1,2024-08-26 12:39:47.222391
Jones LLC,logistics,7414,128665108,8029,email,3,1,2024-08-03 00:25:40.046201
Perez Group,retail,7263,61919576,6573,cold_call,0,1,2025-03-09 05:23:57.947809
Baird-Aguirre,finance,9837,743996352,9628,email,3,1,2024-05-06 15:44:50.394475
"Ford, Keith and Goodwin",manufacturing,2499,4566271,3033,email,7,1,2025-03-27 03:17:27.035128
"Williams, Hopkins and Salazar",retail,5742,541006763,5349,web,1,1,2024-05-18 03:24:06.504045
"Mcclain, Anderson and Rose",technology,5736,546673613,4077,trade_show,3,1,2024-08-28 12:03:33.273157
"Johnson, Gonzales and Franklin",technology,835,845079700,759,trade_show,4,1,2025-02-28 18:44:28.792207
"Hawkins, Jackson and Dean",retail,1132,698537615,879,web,4,1,2024-11-24 23:00:02.141600
"Cole, Weaver and Barber",logistics,8797,328482319,8214,email,2,1,2024-06-01 11:19:25.677116
Johnson-Benson,technology,4370,297799782,5567,cold_call,3,1,2024-07-30 22:53:49.634070
Johnston Inc,logistics,1072,391827212,1349,referral,0,1,2024-12-28 01:23:23.773985
Miller-Coffey,finance,7340,591534966,7542,trade_show,0,1,2024-10-26 07:01:19.231748
"Castillo, Harris and Holmes",finance,1552,756407117,1739,referral,2,1,2024-06-13 10:03:22.587078
"Johnson, Miranda and Wilson",retail,9590,518254048,11778,web,4,1,2024-04-11 16:46:39.670557
Moore Group,manufacturing,4278,48863532,4034,referral,5,1,2024-08-27 08:11:56.724349
Juarez-Hanson,technology,7586,509479383,7715,email,1,1,2025-02-02 20:06:12.458429
"Wu, Harper and Howell",finance,9452,839384370,12113,referral,1,1,2024-05-24 19:09:22.359736
Wall-Torres,logistics,9598,845886677,10083,web,2,1,2024-05-17 12:07:53.731309
Bauer-Clark,manufacturing,6829,917927673,6371,cold_call,1,1,2024-04-26 15:10:52.149208
Mcbride-Giles,retail,7112,155132720,6172,email,2,1,2024-11-13 05:24:50.031471
Daniels Inc,manufacturing,7428,194312716,5934,web,4,1,2024-04-29 10:36:53.998342
Robinson-Osborne,retail,6948,296802640,8358,referral,0,1,2024-06-13 16:52:29.298758
Mendoza-Cole,finance,5999,700891554,6198,email,3,1,2024-11-08 11:47:15.877582
Miller-Anthony,logistics,4790,456116588,3948,web,3,1,2025-02-24 02:38:13.347480
"Smith, Gomez and Miller",retail,4373,285224544,4509,email,0,1,2025-03-12 16:00:22.643589
"Brown, Cook and Garcia",logistics,4729,988139934,3391,email,2,1,2025-01-28 08:27:16.392323
Moore PLC,retail,1341,203880344,1352,cold_call,2,1,2024-09-22 11:44:34.901383
Vincent-Tyler,manufacturing,6337,395629616,6307,cold_call,0,1,2024-05-11 09:37:23.265359
"Coleman, Hunter and Peterson",retail,1916,160145166,1489,trade_show,1,1,2024-09-08 23:49:47.659042
"Stewart, Jackson and Washington",logistics,1897,962007906,1914,referral,1,1,2024-05-13 03:32:40.406747
"Rush, Johnson and Ruiz",finance,6991,518227104,7135,cold_call,1,1,2024-10-23 17:38:13.304873
Humphrey-Gomez,finance,7250,396485049,8552,web,2,1,2024-05-30 18:12:08.574162
Werner Ltd,manufacturing,8160,134385389,7976,email,0,1,2024-03-30 19:19:15.068435
Zuniga LLC,retail,5136,803969698,6353,trade_show,1,1,2024-09-26 02:03:25.819006
Russell LLC,logistics,5760,546781316,4661,web,1,1,2024-08-01 20:40:46.600514
"Lawrence, Vazquez and Grant",logistics,6298,399217836,6651,cold_call,2,1,2024-07-27 20:51:56.376382
Webb-Peters,logistics,6901,548053234,6399,email,2,1,2025-02-26 21:21:41.315972
Lopez LLC,finance,3822,789050392,3219,email,1,1,2024-09-24 18:58:36.064925
"Garcia, Flynn and Taylor",logistics,8444,78450878,7990,cold_call,4,1,2025-02-25 18:43:43.995435
Williams-Oneill,retail,5570,938366817,5759,referral,2,1,2024-12-24 19:37:13.301369
Sanchez-Boyd,logistics,6293,493320398,7075,email,3,1,2024-08-16 06:41:40.876157
"Price, Rangel and Stewart",manufacturing,270,272293430,277,referral,2,1,2024-12-28 23:40:20.481390
Sullivan-Thompson,retail,9320,771171792,11281,cold_call,1,1,2024-04-01 10:36:38.023477
Miller Ltd,logistics,2645,555132546,1957,cold_call,1,1,2024-04-10 07:31:21.936971
Farmer and Sons,finance,2908,709616666,3141,cold_call,2,1,2024-08-26 13:14:11.496543
Johnson-Joseph,retail,7814,220766277,8000,web,2,1,2024-11-22 13:13:11.044149
Bruce PLC,retail,8399,815422757,7556,trade_show,1,1,2025-02-25 17:06:45.147819
"Mccarthy, Armstrong and Smith",finance,5418,143814291,6202,trade_show,1,1,2024-04-06 19:19:20.483540
Smith-Gonzalez,technology,2655,919498209,3073,trade_show,1,1,2024-04-08 06:53:19.127057
Willis-Garner,technology,6369,446595667,5976,email,2,1,2024-06-19 10:20:19.450032
Hernandez PLC,retail,2126,329948467,1719,referral,1,1,2025-01-17 18:46:14.719693
"Wood, Williams and Gray",manufacturing,8564,658739243,10680,referral,1,1,2024-11-17 18:49:16.752382
"Johnson, Stevens and Key",manufacturing,8805,534545854,9368,trade_show,4,1,2024-12-25 04:34:14.746405
Baker-Hernandez,technology,9407,375870070,11782,trade_show,2,1,2025-03-22 02:49:07.017807
"Buck, Little and Blackburn",logistics,7980,636479710,7570,referral,2,1,2024-08-30 02:25:46.720991
Scott-Snyder,logistics,6793,964770378,4888,trade_show,1,1,2024-06-05 17:08:17.836696
"Mclaughlin, Wells and Steele",logistics,4390,346224350,3804,referral,0,1,2025-02-01 08:17:30.828409
"Price, Ibarra and Smith",logistics,3442,638601552,3560,cold_call,1,1,2025-03-23 16:40:50.855772
"Castillo, Black and Andersen",retail,8068,213912151,9994,email,3,1,2024-04-16 18:18:19.219994
Lam-Williams,retail,6655,819419771,6579,trade_show,1,1,2024-12-08 03:03:55.190568
Stephens PLC,technology,64,670770299,77,email,2,1,2025-03-06 03:55:06.420872
"Dickson, Foster and Duncan",finance,8529,447242965,7706,email,1,1,2024-04-02 15:57:58.141863
Swanson-Martin,retail,4557,835083411,5016,email,1,1,2024-12-10 02:44:14.819349
Green-Robinson,manufacturing,8976,892964662,10850,email,5,1,2024-04-09 03:52:52.317799
Chavez Group,technology,814,684767813,947,web,1,1,2025-02-24 20:52:56.529616
Holland Inc,technology,2689,620947085,2642,web,3,1,2024-11-20 13:18:43.012433
"Nelson, Ellis and Johnson",technology,6819,110438489,8457,referral,1,1,2024-12-14 20:25:25.754045
"Montgomery, Macdonald and Anderson",finance,5485,103416389,4060,email,2,1,2025-02-12 02:06:15.567018
Lane-Rose,manufacturing,9910,378516528,9427,cold_call,2,1,2024-09-14 01:33:28.432678
"Johnson, Lee and Davis",logistics,2876,388094292,3053,referral,0,1,2024-07-01 06:09:28.081595
"Vasquez, Lopez and Wagner",retail,9452,856116181,9316,email,1,1,2024-12-30 18:51:35.686402
"Hernandez, Schwartz and Schmidt",retail,1772,393216915,1295,trade_show,3,1,2025-01-29 11:39:18.720543
"Hodge, Miller and Lynch",retail,1649,793927369,1609,trade_show,3,1,2025-02-14 10:11:58.314143
Haynes Ltd,retail,9838,393441995,11652,web,1,1,2024-11-12 20:20:58.996552
"Fitzpatrick, Carney and Butler",retail,5905,596883070,6991,email,3,1,2024-11-16 07:43:27.938327
"Wyatt, Howard and Alvarez",manufacturing,8690,833578508,9575,referral,4,1,2024-06-18 05:16:47.007840
"Myers, Hill and Smith",manufacturing,9028,834468214,10627,cold_call,3,1,2024-04-13 00:30:33.337871
Williams-Barton,retail,2677,517930843,2646,trade_show,3,1,2024-12-08 10:51:24.905012
Johnson-Lane,logistics,7574,540799345,7665,email,2,1,2024-04-28 10:51:24.624379
"Williams, Alexander and Turner",retail,3820,300875290,4961,cold_call,0,1,2024-05-05 19:34:13.778652
"Kidd, Rojas and Thomas",logistics,4371,393945661,4155,cold_call,2,1,2025-03-10 04:55:29.470947
Smith Group,manufacturing,6477,925894449,5441,web,2,1,2025-03-10 14:46:15.820876
Smith-Mclaughlin,retail,1838,156200668,1572,cold_call,4,1,2024-11-05 11:37:22.776446
Woods PLC,technology,5700,651132135,7214,email,1,1,2024-10-25 12:21:28.522693
Johnson-Melton,manufacturing,6412,327400983,5835,email,2,1,2024-10-22 06:17:01.021101
Smith Group,logistics,9798,44051994,9188,referral,4,1,2024-08-30 04:16:59.429572
Cunningham-Harris,finance,1228,883366456,1487,referral,3,1,2024-06-08 23:12:21.106602
Daniels LLC,retail,3982,209623887,3972,email,2,1,2024-07-01 23:57:15.419304
Ochoa-Hahn,finance,2172,320852313,2264,referral,5,1,2024-10-09 05:37:50.357258
"Peterson, Hodges and Garcia",logistics,6934,373819402,5846,email,3,1,2024-12-04 04:20:38.157013
"Ali, Daniels and Torres",manufacturing,2413,241398689,2893,email,1,1,2024-08-21 10:40:31.802160
Gibson-Rodriguez,retail,1146,257129352,1236,referral,3,1,2025-01-29 10:00:45.710367
Bennett-Thomas,technology,581,771035118,731,email,2,1,2024-12-17 23:55:53.801250
Lyons PLC,logistics,9119,895909936,9568,web,0,1,2025-02-11 22:20:00.458931
Osborn-Hodges,technology,5136,281962172,3663,trade_show,1,1,2025-03-21 15:29:31.040843
Estrada Ltd,manufacturing,3366,834627747,3216,email,3,1,2024-09-25 00:03:30.250107
"Rodriguez, Martinez and Walter",retail,5668,507139426,7201,cold_call,0,1,2024-08-11 08:59:25.080529
Camacho and Sons,finance,4189,634013093,4842,email,3,1,2024-05-05 07:02:18.096069
"Hays, Bass and Green",retail,1617,684055259,1311,web,0,1,2024-10-21 04:15:32.590263
Bates PLC,retail,3643,47447699,2589,email,0,1,2024-10-28 13:34:09.780904
Cardenas Ltd,logistics,1885,774507907,1951,web,1,1,2024-06-08 08:55:43.133562
Fox-Wilson,manufacturing,5473,787138791,4850,email,1,1,2025-03-01 06:11:03.809327
"Baker, Wyatt and Tran",retail,5430,30419320,6603,web,0,1,2024-08-21 19:04:21.433460
Taylor-Williams,logistics,6741,304632525,5295,cold_call,2,1,2024-04-14 21:00:27.989687
"Pierce, Johnson and Hendricks",finance,1959,142706240,2340,referral,1,1,2024-10-09 07:12:17.144445
"George, Mitchell and Glover",manufacturing,3051,176981769,2442,web,1,1,2024-09-15 08:44:36.032277
Lopez and Sons,logistics,8917,519658407,11310,cold_call,3,1,2024-08-12 09:08:42.889638
Cook Group,technology,31,869050425,30,web,1,1,2024-09-18 10:15:02.997137
Vargas-Gonzalez,logistics,1276,941616921,1145,cold_call,3,1,2024-09-24 17:39:51.817324
"Wong, Ramirez and Moore",manufacturing,671,353638596,870,web,1,1,2024-04-04 21:54:51.365312
Jarvis and Sons,logistics,9104,913308651,7324,email,3,1,2024-04-15 13:36:59.785587
Hopkins PLC,technology,965,172367671,990,trade_show,3,1,2024-06-20 21:07:08.608540
Soto-Allen,finance,3724,528237452,3647,email,1,1,2025-01-17 18:54:45.394344
Yoder LLC,manufacturing,9141,527730861,11726,email,2,1,2024-08-06 17:38:36.995570
Martinez Group,logistics,3165,399320865,2396,web,2,1,2024-10-28 01:00:16.616555
"Oconnor, Velasquez and Trujillo",logistics,5553,424073323,4323,email,1,1,2025-01-21 13:40:51.643598
"Greer, Simmons and Potter",finance,5907,727626219,7072,web,3,1,2024-09-19 02:12:45.214577
Meyer-Dixon,technology,3202,453382922,3656,email,3,1,2025-02-11 14:03:08.313126
Watts-Rose,technology,3963,245286177,3066,email,1,1,2024-08-14 10:53:52.644101
Martin Inc,finance,5188,284238308,3953,trade_show,0,1,2024-08-14 17:52:40.838578
"Nelson, Hodge and Obrien",retail,3259,398043702,3585,cold_call,0,1,2024-12-21 17:35:43.861133
Gallegos PLC,technology,1979,867053961,2255,referral,2,1,2024-07-09 14:00:15.248419
Vang-Ramsey,retail,6099,75330621,6088,web,3,1,2024-08-29 07:02:05.756001
Hart Group,technology,3082,926417714,3897,email,2,1,2024-08-20 07:47:24.300994
"Turner, Hale and Thomas",logistics,7858,518732111,9048,email,4,1,2024-05-07 23:44:43.945678
Watson-Thomas,manufacturing,7771,549388332,9159,trade_show,2,1,2024-09-08 00:50:04.187541
"Watson, Griffin and Gardner",manufacturing,4816,272568110,5380,cold_call,3,1,2024-08-18 08:58:13.617287
Delgado Group,retail,7020,723563111,7728,referral,6,1,2024-04-17 20:23:32.476813
"Green, Gould and Torres",retail,9145,212332534,10862,referral,3,1,2024-05-01 21:00:11.935307
Leon-Freeman,finance,5253,879108142,4444,trade_show,1,1,2024-05-19 23:08:51.566494
"Lee, Lopez and Williams",technology,7161,99248148,6236,trade_show,3,1,2024-04-17 13:35:52.062399
Smith-Mendoza,manufacturing,6797,314380025,5254,trade_show,0,1,2024-09-07 12:23:57.091410
Contreras-Thomas,logistics,8115,795650140,6929,cold_call,1,1,2024-09-11 23:44:22.523206
"Moore, Potter and Abbott",technology,5505,113913164,5944,trade_show,0,1,2024-12-05 21:04:33.733650
Taylor Group,manufacturing,4626,629767598,4934,referral,4,1,2025-03-18 10:06:08.496054
Knox-Jordan,retail,3693,746300123,4072,web,0,1,2024-03-28 11:48:11.721202
Thomas Inc,logistics,492,512316171,599,email,0,1,2024-06-27 21:42:38.955842
"Melendez, Mendoza and Johnson",retail,997,885662822,1024,referral,2,1,2024-10-10 16:45:44.045649
"Calderon, Cuevas and Liu",manufacturing,9779,765461525,9460,web,2,1,2025-03-25 18:23:11.104730
Green-Wood,manufacturing,1135,336769225,1411,email,0,1,2024-12-01 01:36:49.324141
Butler-Dillon,logistics,717,826494380,725,referral,1,1,2025-02-26 14:43:05.710543
"Harris, Moon and Cooper",manufacturing,8268,141652629,6932,referral,4,1,2025-01-28 06:35:02.743667
Freeman PLC,technology,3384,863103640,2714,referral,0,1,2025-01-10 16:49:42.923328
Joseph-Padilla,technology,3729,195306099,3672,email,0,1,2024-05-29 10:09:59.861559
Garcia and Sons,finance,4047,30367797,3049,web,2,1,2025-01-16 05:22:23.150352
Black Inc,technology,4586,976592182,3934,referral,1,1,2024-06-04 09:48:48.672173
Scott LLC,manufacturing,3277,529826929,3307,trade_show,3,1,2025-01-14 18:49:32.463898
Snyder PLC,logistics,8795,549641292,8165,referral,4,1,2024-07-24 13:19:51.513051
Sanchez-Mcbride,manufacturing,7383,969088435,7706,referral,1,1,2024-09-18 22:47:58.040679
Ortega-Solis,technology,8296,597950944,8824,email,4,1,2024-07-27 18:59:20.231435
Howard-Griffin,finance,7189,927049151,5558,cold_call,2,1,2024-05-08 04:22:25.587930
"Juarez, Bell and Friedman",finance,4359,440562465,4751,trade_show,2,1,2024-07-27 08:57:54.727491
"Patterson, Mills and Ferguson",logistics,5088,733099560,3995,web,2,1,2024-07-28 01:27:44.567816
Parker-Aguirre,logistics,1648,983194823,1958,cold_call,2,1,2024-12-20 05:05:34.586816
Davis PLC,finance,1559,759824486,1777,email,0,1,2024-12-19 20:24:42.179535
Benson PLC,retail,6558,82530197,7700,email,1,1,2025-01-21 14:07:51.400728
Wright-Wood,manufacturing,7390,854181204,8727,email,0,1,2025-03-19 05:57:43.773707
"Brown, Higgins and Singleton",logistics,4805,627552298,4673,cold_call,1,1,2024-07-17 19:29:37.472252
Patrick Inc,finance,9661,470679100,9425,email,1,1,2024-11-22 15:49:38.806245
Rios Group,logistics,8626,808132384,10224,email,2,1,2024-07-22 01:36:16.069697
Williams PLC,retail,6879,587091815,5752,web,0,1,2024-05-27 07:08:04.223158
Flores and Sons,retail,7093,52592736,6851,email,0,1,2025-03-21 09:44:34.858811
"Walker, Myers and Roberts",retail,2721,152875696,3466,email,5,1,2024-10-30 19:55:36.404635
Austin LLC,manufacturing,8974,688594941,10753,referral,0,1,2025-03-01 01:55:04.371662
"Hernandez, Spencer and Anderson",manufacturing,9164,521450704,7819,cold_call,3,1,2024-12-26 19:46:39.743762
Foley-Walker,finance,3757,184019243,3699,referral,5,1,2024-06-11 18:31:58.473693
"Lloyd, Marshall and Reyes",logistics,4593,782114266,4731,referral,3,1,2024-10-09 10:33:07.973950
Campbell LLC,logistics,7041,154318466,7765,web,2,1,2025-02-06 16:03:54.457099
Harding-Diaz,retail,8799,13789493,11357,cold_call,0,1,2024-10-08 04:45:40.841608
Martin-Greer,finance,4568,394682451,5438,trade_show,1,1,2024-10-11 19:39:22.336786
Davis and Sons,retail,8904,455068949,9251,email,0,1,2024-08-04 03:45:59.636819
Daniel-Chang,logistics,7305,789517188,5815,referral,4,1,2025-01-11 13:33:21.867584
Castaneda-Hooper,logistics,3091,279781325,3306,trade_show,3,1,2024-06-11 14:02:03.623955
Gamble Group,manufacturing,3093,47480429,2540,referral,5,1,2024-05-25 14:09:07.451387
Miller PLC,manufacturing,1023,399722370,800,email,0,1,2024-05-11 21:37:24.784323
Walton-Smith,manufacturing,5901,778860379,6942,cold_call,3,1,2025-02-18 10:58:51.938337
Carter PLC,manufacturing,603,438812210,519,cold_call,2,1,2025-01-11 08:00:03.389690
Alvarez LLC,technology,551,996400089,619,cold_call,2,1,2024-05-29 16:30:18.605283
Thompson and Sons,technology,1146,421974426,1353,trade_show,2,1,2024-11-04 13:54:01.312219
Ramsey PLC,technology,2020,798582830,1910,cold_call,2,1,2025-02-12 17:47:50.195415
Smith-Rosario,finance,6407,371524885,5534,web,2,1,2024-09-13 10:41:54.141409
Ruiz-Lam,manufacturing,8009,799399492,7917,email,2,1,2024-08-02 05:01:10.911142
Hernandez PLC,logistics,2849,985830360,2006,web,1,1,2024-11-17 06:38:12.140172
"Marquez, Brown and Hart",technology,6878,296272445,5981,referral,1,1,2024-07-29 02:00:39.595793
"Gomez, Hudson and Holt",manufacturing,7906,114820972,6806,web,1,1,2025-03-17 15:43:43.386832
Alvarado-Cisneros,manufacturing,884,598154328,802,referral,2,1,2024-05-25 04:17:57.317792
Woodward-Mclaughlin,manufacturing,2549,162076183,2182,web,2,1,2024-08-10 13:27:12.061075
Peterson-Wallace,finance,1948,252209170,2499,cold_call,1,1,2025-03-20 00:08:31.179235
Hartman Inc,logistics,9889,493028572,8271,cold_call,1,1,2024-08-18 00:41:21.518175
Burgess-Carlson,logistics,1643,351107685,1373,referral,1,1,2025-03-20 16:35:51.279924
Rose-Carter,finance,3760,195228405,3287,cold_call,4,1,2024-12-06 19:01:49.017205
Hunter-Wright,manufacturing,9293,29097485,10709,email,1,1,2024-12-07 05:55:20.487204
Martin Group,manufacturing,5889,918928285,5336,cold_call,2,1,2025-03-20 17:22:38.910484
"Buckley, Cook and Graham",logistics,2436,560249681,1841,email,2,1,2024-09-14 13:16:10.651608
Bailey-Sandoval,finance,7249,205889750,7869,referral,1,1,2024-10-16 14:52:28.559868
"Cervantes, Carpenter and Wheeler",retail,268,632260538,232,web,1,1,2024-09-15 02:30:06.315349
Alexander-Cobb,finance,2317,208806525,2477,trade_show,6,1,2024-06-05 18:07:29.126191
Clarke PLC,technology,933,566725381,1201,trade_show,1,1,2024-06-12 22:14:32.349915
Liu-Simpson,manufacturing,7843,341148701,7273,trade_show,2,1,2024-10-27 09:03:57.714896
Hughes-Brennan,retail,7554,950008874,9372,cold_call,2,1,2025-01-23 00:52:15.725607
Walker LLC,finance,6309,326423959,4746,web,1,1,2024-04-22 02:32:01.645006
Hickman-Rivas,manufacturing,5443,488770282,5936,web,4,1,2024-09-11 20:57:08.537125
Price-Nguyen,technology,9272,751210054,7420,cold_call,2,1,2025-01-06 00:28:53.826675
"Manning, Harmon and Gray",technology,451,54451768,374,email,0,1,2024-11-19 13:12:09.900806
York Ltd,technology,7578,69097670,8975,cold_call,3,1,2024-09-24 11:26:23.001436
Park-Hodge,retail,1387,846447127,1286,cold_call,1,1,2024-07-28 02:48:55.360056
Nelson-Cole,logistics,8482,736446535,9702,referral,1,1,2024-08-21 23:50:29.758695
Owens-Williams,retail,2956,17116233,3309,cold_call,0,1,2024-08-10 14:11:53.301716
Johnson-Bennett,technology,4503,938306327,5053,email,0,1,2024-04-20 03:27:36.745322
Thomas-Kelley,logistics,6826,939701271,5940,trade_show,0,1,2024-05-15 21:25:58.109479
Stevens-Joseph,retail,8269,546589307,10016,web,1,1,2024-12-02 18:47:34.346328
Newman and Sons,finance,9287,191562256,8090,cold_call,4,1,2024-07-13 13:45:56.318902
"Parsons, Martin and Turner",finance,7378,685691996,5309,trade_show,4,1,2025-02-01 06:19:45.372463
Miller-Gonzalez,technology,6327,102662350,4950,trade_show,4,1,2024-05-18 04:09:22.389910
Lee PLC,technology,781,577821749,915,trade_show,5,1,2024-12-07 14:56:12.046374
Walker-Padilla,logistics,6726,955701675,7145,trade_show,1,1,2025-03-13 06:43:48.495552
Hughes Inc,finance,5818,71278892,5947,web,0,1,2024-05-29 05:03:27.620473
Jones LLC,retail,4997,150028800,4513,email,1,1,2024-05-10 21:08:50.516702
"Dean, Sutton and Marshall",finance,4922,502896840,5861,email,3,1,2025-03-03 04:30:35.274380
Fields-Simmons,retail,5012,564841452,6303,email,2,1,2024-06-06 17:26:56.879656
"Arroyo, Watts and Baker",logistics,6256,876415611,7461,web,1,1,2024-10-25 17:27:21.760201
"Clark, Howard and Hamilton",logistics,5816,522358259,6467,referral,3,1,2024-04-01 23:15:59.237151
"Brown, Ramirez and Lowery",technology,7932,450089262,9121,referral,3,1,2024-11-06 18:50:37.405455
Hale LLC,manufacturing,4668,701412117,3591,cold_call,1,1,2024-08-29 21:03:47.188864
"Morse, Duffy and Johnson",manufacturing,4018,738981533,4096,trade_show,2,1,2025-01-30 16:54:30.154629
"Thompson, Smith and Farmer",logistics,9352,400250750,9164,web,0,1,2024-10-27 09:34:00.627469
Powell LLC,finance,8576,182783720,7579,referral,1,1,2025-01-23 03:02:12.762671
Rivers-Rhodes,retail,3253,715792878,3759,trade_show,2,1,2024-09-08 11:04:56.376446
"Bennett, Allen and Higgins",technology,16,612537187,11,web,1,1,2024-06-14 15:05:01.933935
Fuller Group,technology,923,588091003,649,trade_show,1,1,2025-02-13 03:43:31.022429
"Ayers, Winters and Robinson",technology,9665,256459909,9398,cold_call,2,1,2024-08-16 09:43:26.098833
"Mitchell, Lopez and Reyes",retail,6228,583309516,5795,trade_show,2,1,2025-02-13 03:50:12.200095
"Reed, Mckinney and Howe",finance,4019,644702340,4827,email,4,1,2024-08-26 10:03:11.653414
"Bennett, Chung and Miller",finance,4164,906920014,3293,web,1,1,2025-02-17 14:05:11.897147
"Brown, Nelson and Santiago",manufacturing,8566,51217909,7265,trade_show,3,1,2025-01-22 06:49:52.270291
Nguyen-Fox,technology,9758,929605579,11694,cold_call,2,1,2025-03-14 18:39:15.016751
Conley-Bell,retail,6662,559797659,5864,web,3,1,2024-05-13 00:10:12.633774
"Hill, Smith and Hernandez",finance,3740,568635038,4781,email,2,1,2025-01-03 12:46:22.735536
Huber LLC,logistics,567,148109977,718,web,2,1,2024-06-21 03:01:28.051989
Stark-Lyons,manufacturing,5357,153789189,5429,trade_show,3,1,2025-02-01 14:25:44.496818
"Jones, Morrow and Mason",technology,9104,885065740,8975,web,0,1,2024-09-19 11:03:10.225249
Jackson and Sons,logistics,3945,268353330,3499,trade_show,3,1,2025-02-28 17:55:55.324191
Melton PLC,retail,3916,827020501,3979,email,2,1,2024-07-17 07:20:44.178506
"Boyd, Bryant and Butler",logistics,7911,38167502,10239,referral,3,1,2024-10-08 05:18:02.152501
Donovan-Russell,finance,4246,14822791,5359,cold_call,4,1,2024-05-29 17:47:10.875655
"Myers, Kelly and Ramos",technology,8615,105320062,6371,trade_show,4,1,2024-05-22 11:45:03.737532
"Graham, Cobb and Montoya",technology,7833,980468741,5719,referral,2,1,2024-09-18 06:44:42.619380
Fletcher and Sons,retail,2961,182700918,3723,trade_show,0,1,2025-01-05 00:14:58.508187
Clark PLC,finance,2838,444599476,2352,trade_show,1,1,2025-03-12 12:41:34.005141
Simmons Group,manufacturing,7661,536042599,7912,cold_call,2,1,2025-02-09 19:13:43.914236
Bowman and Sons,technology,1238,716464858,1442,referral,1,1,2024-04-22 11:53:03.051307
Zimmerman-Miles,manufacturing,7026,654853328,6257,web,1,1,2024-12-01 12:53:18.453345
Horton Ltd,manufacturing,6066,388239397,5144,web,0,1,2024-12-22 13:04:25.665229
Walters-Gibson,logistics,2634,558144778,2271,trade_show,5,1,2024-06-27 03:16:15.285490
